sim_time, unit_box_Custom?world_pose/orientation/yaw
0.807, 3.4856e-19
0.808, 3.48992e-19
0.809, 3.49425e-19
0.81, 3.49858e-19
0.811, 3.50291e-19
0.812, 3.50723e-19
0.813, 3.51156e-19
0.814, 3.51589e-19
0.815, 3.52022e-19
0.816, 3.52455e-19
0.817, 3.52888e-19
0.818, 3.53321e-19
0.819, 3.53754e-19
0.82, 3.54187e-19
0.821, 3.5462e-19
0.822, 3.55053e-19
0.823, 3.55486e-19
0.824, 3.55918e-19
0.825, 3.56351e-19
0.826, 3.56784e-19
0.827, 3.57217e-19
0.828, 3.5765e-19
0.829, 3.58083e-19
0.83, 3.58515e-19
0.831, 3.58948e-19
0.832, 3.59381e-19
0.833, 3.59814e-19
0.834, 3.60246e-19
0.835, 3.60679e-19
0.836, 3.61112e-19
0.837, 3.61545e-19
0.838, 3.61977e-19
0.839, 3.6241e-19
0.84, 3.62843e-19
0.841, 3.63276e-19
0.842, 3.63709e-19
0.843, 3.64142e-19
0.844, 3.64575e-19
0.845, 3.65008e-19
0.846, 3.6544e-19
0.847, 3.65873e-19
0.848, 3.66307e-19
0.849, 3.6674e-19
0.85, 3.67172e-19
0.851, 3.67605e-19
0.852, 3.68038e-19
0.853, 3.68471e-19
0.854, 3.68904e-19
0.855, 3.69337e-19
0.856, 3.69769e-19
0.857, 3.70202e-19
0.858, 3.70635e-19
0.859, 3.71068e-19
0.86, 3.71501e-19
0.861, 3.71934e-19
0.862, 3.72367e-19
0.863, 3.728e-19
0.864, 3.73233e-19
0.865, 3.73666e-19
0.866, 3.74099e-19
0.867, 3.74531e-19
0.868, 3.74964e-19
0.869, 3.75397e-19
0.87, 3.7583e-19
0.871, 3.76262e-19
0.872, 3.76695e-19
0.873, 3.77128e-19
0.874, 3.77561e-19
0.875, 3.77993e-19
0.876, 3.78426e-19
0.877, 3.78859e-19
0.878, 3.79292e-19
0.879, 3.79725e-19
0.88, 3.80158e-19
0.881, 3.8059e-19
0.882, 3.81023e-19
0.883, 3.81456e-19
0.884, 3.81889e-19
0.885, 3.82322e-19
0.886, 3.82755e-19
0.887, 3.83187e-19
0.888, 3.8362e-19
0.889, 3.84053e-19
0.89, 3.84486e-19
0.891, 3.84919e-19
0.892, 3.85352e-19
0.893, 3.85784e-19
0.894, 3.86217e-19
0.895, 3.8665e-19
0.896, 3.87083e-19
0.897, 3.87516e-19
0.898, 3.87948e-19
0.899, 3.88381e-19
0.9, 3.88814e-19
0.901, 3.89247e-19
0.902, 3.8968e-19
0.903, 3.90112e-19
0.904, 3.90546e-19
0.905, 3.90978e-19
0.906, 3.91411e-19
0.907, 3.91844e-19
0.908, 3.92277e-19
0.909, 3.9271e-19
0.91, 3.93142e-19
0.911, 3.93575e-19
0.912, 3.94008e-19
0.913, 3.94441e-19
0.914, 3.94874e-19
0.915, 3.95307e-19
0.916, 3.95739e-19
0.917, 3.96172e-19
0.918, 3.96605e-19
0.919, 3.97038e-19
0.92, 3.97471e-19
0.921, 3.97903e-19
0.922, 3.98336e-19
0.923, 3.98769e-19
0.924, 3.99202e-19
0.925, 3.99635e-19
0.926, 4.00067e-19
0.927, 4.005e-19
0.928, 4.00933e-19
0.929, 4.01366e-19
0.93, 4.01799e-19
0.931, 4.02232e-19
0.932, 4.02665e-19
0.933, 4.03098e-19
0.934, 4.0353e-19
0.935, 4.03963e-19
0.936, 4.04396e-19
0.937, 4.04829e-19
0.938, 4.05262e-19
0.939, 4.05695e-19
0.94, 4.06128e-19
0.941, 4.0656e-19
0.942, 4.06994e-19
0.943, 4.07426e-19
0.944, 4.0786e-19
0.945, 4.08292e-19
0.946, 4.08725e-19
0.947, 4.09158e-19
0.948, 4.09591e-19
0.949, 4.10024e-19
0.95, 4.10456e-19
0.951, 4.10889e-19
0.952, 4.11322e-19
0.953, 4.11755e-19
0.954, 4.12188e-19
0.955, 4.12621e-19
0.956, 4.13054e-19
0.957, 4.13486e-19
0.958, 4.13919e-19
0.959, 4.14352e-19
0.96, 4.14785e-19
0.961, 4.15218e-19
0.962, 4.15651e-19
0.963, 4.16083e-19
0.964, 4.16516e-19
0.965, 4.16949e-19
0.966, 4.17381e-19
0.967, 4.17814e-19
0.968, 4.18247e-19
0.969, 4.18679e-19
0.97, 4.19113e-19
0.971, 4.19545e-19
0.972, 4.19978e-19
0.973, 4.20411e-19
0.974, 4.20844e-19
0.975, 4.21277e-19
0.976, 4.2171e-19
0.977, 4.22143e-19
0.978, 4.22576e-19
0.979, 4.23008e-19
0.98, 4.23441e-19
0.981, 4.23875e-19
0.982, 4.24307e-19
0.983, 4.2474e-19
0.984, 4.25173e-19
0.985, 4.25606e-19
0.986, 4.26038e-19
0.987, 4.26471e-19
0.988, 4.26904e-19
0.989, 4.27336e-19
0.99, 4.2777e-19
0.991, 4.28202e-19
0.992, 4.28635e-19
0.993, 4.29068e-19
0.994, 4.29501e-19
0.995, 4.29934e-19
0.996, 4.30367e-19
0.997, 4.308e-19
0.998, 4.31233e-19
0.999, 4.31665e-19
1, 4.32098e-19
1.001, 4.32531e-19
1.002, 4.32964e-19
1.003, 4.33397e-19
1.004, 4.3383e-19
1.005, 4.34263e-19
1.006, 4.34696e-19
1.007, 4.35129e-19
1.008, 4.35561e-19
1.009, 4.35994e-19
1.01, 4.36427e-19
1.011, 4.3686e-19
1.012, 4.37293e-19
1.013, 4.37726e-19
1.014, 4.38159e-19
1.015, 4.38591e-19
1.016, 4.39024e-19
1.017, 4.39457e-19
1.018, 4.3989e-19
1.019, 4.40323e-19
1.02, 4.40756e-19
1.021, 4.41188e-19
1.022, 4.41621e-19
1.023, 4.42054e-19
1.024, 4.42487e-19
1.025, 4.4292e-19
1.026, 4.43352e-19
1.027, 4.43785e-19
1.028, 4.44217e-19
1.029, 4.4465e-19
1.03, 4.45083e-19
1.031, 4.45516e-19
1.032, 4.45949e-19
1.033, 4.46382e-19
1.034, 4.46815e-19
1.035, 4.47248e-19
1.036, 4.47681e-19
1.037, 4.48114e-19
1.038, 4.48546e-19
1.039, 4.48979e-19
1.04, 4.49412e-19
1.041, 4.49845e-19
1.042, 4.50278e-19
1.043, 4.50711e-19
1.044, 4.51144e-19
1.045, 4.51576e-19
1.046, 4.52009e-19
1.047, 4.52442e-19
1.048, 4.52875e-19
1.049, 4.53308e-19
1.05, 4.53741e-19
1.051, 4.54174e-19
1.052, 4.54606e-19
1.053, 4.55039e-19
1.054, 4.55472e-19
1.055, 4.55905e-19
1.056, 4.56338e-19
1.057, 4.5677e-19
1.058, 4.57203e-19
1.059, 4.57636e-19
1.06, 4.58069e-19
1.061, 4.58502e-19
1.062, 4.58935e-19
1.063, 4.59368e-19
1.064, 4.59801e-19
1.065, 4.60234e-19
1.066, 4.60667e-19
1.067, 4.61099e-19
