sim_time, unit_box_Custom?world_angular_acceleration/y
0.727, -4.62767e-15
0.728, -1.7855e-15
0.729, 5.49756e-15
0.73, -4.80532e-15
0.731, 5.85282e-15
0.732, -6.22639e-15
0.733, 3.01065e-15
0.734, -9.16932e-18
0.735, -2.49603e-15
0.736, 1.41193e-15
0.737, -2.14077e-15
0.738, 4.78701e-15
0.739, -3.02897e-15
0.74, -7.19687e-16
0.741, 7.27393e-15
0.742, -7.82513e-15
0.743, 6.03048e-15
0.744, -6.93693e-15
0.745, 3.36593e-15
0.746, -2.49606e-15
0.747, 3.36594e-15
0.748, -1.25261e-15
0.749, 1.23428e-15
0.75, -1.60786e-15
0.751, -1.60787e-15
0.752, 5.85283e-15
0.753, -4.98294e-15
0.754, -1.60787e-15
0.755, 4.25411e-15
0.756, -1.25259e-15
0.757, 5.23716e-16
0.758, -1.86788e-16
0.759, -1.96313e-15
0.76, 3.46109e-16
0.761, 1.94485e-15
0.762, -1.86793e-16
0.763, -2.31842e-15
0.764, 5.14229e-15
0.765, -9.24622e-15
0.766, 1.0649e-14
0.767, -6.04877e-15
0.768, -2.31842e-15
0.769, 3.54356e-15
0.77, 5.23741e-16
0.771, 3.01066e-15
0.772, -4.80533e-15
0.773, -3.20661e-15
0.774, 7.45153e-15
0.775, -4.45004e-15
0.776, 2.65538e-15
0.777, 1.68475e-16
0.778, -2.31838e-15
0.779, 3.46107e-16
0.78, -9.1373e-18
0.781, 1.68505e-16
0.782, 1.41192e-15
0.783, -7.19682e-16
0.784, -2.31844e-15
0.785, 4.78704e-15
0.786, -5.51586e-15
0.787, 3.72119e-15
0.788, -3.91715e-15
0.789, 4.6094e-15
0.79, -1.07495e-15
0.791, -2.31841e-15
0.792, 1.23428e-15
0.793, -9.13808e-18
0.794, -7.19685e-16
0.795, 2.65536e-15
0.796, -1.60786e-15
0.797, -1.60788e-15
0.798, 3.54357e-15
0.799, -7.19686e-16
0.8, -1.60785e-15
0.801, -2.31843e-15
0.802, 5.1423e-15
0.803, -3.56184e-15
0.804, 2.12247e-15
0.805, 7.01399e-16
0.806, 5.23753e-16
0.807, -7.64748e-15
0.808, 7.80682e-15
0.809, -4.62768e-15
0.81, 6.2081e-15
0.811, -6.58167e-15
0.812, 3.54356e-15
0.813, 7.01411e-16
0.814, 5.23733e-16
0.815, -2.14077e-15
0.816, -3.2066e-15
0.817, 3.54357e-15
0.818, 1.68497e-16
0.819, -1.25262e-15
0.82, -1.25258e-15
0.821, 4.43175e-15
0.822, -6.40403e-15
0.823, 4.43172e-15
0.824, 5.23756e-16
0.825, -8.97324e-16
0.826, -3.38423e-15
0.827, 5.49757e-15
0.828, -5.33822e-15
0.829, 5.85283e-15
0.83, -2.6737e-15
0.831, -5.42043e-16
0.832, 1.94483e-15
0.833, 1.2343e-15
0.834, -3.56184e-15
0.835, 2.3001e-15
0.836, 1.05666e-15
0.837, -4.62767e-15
0.838, 4.2541e-15
0.839, -9.15529e-18
0.84, -3.91712e-15
0.841, 1.6848e-16
0.842, 2.30015e-15
