sim_time, unit_box_Custom?world_angular_velocity/x
0.731, 1.09917e-17
0.732, 1.40061e-17
0.733, 1.12474e-17
0.734, 1.60381e-17
0.735, 7.52794e-18
0.736, 1.76697e-17
0.737, 1.26905e-17
0.738, 1.26183e-17
0.739, 9.88126e-18
0.74, 1.15634e-17
0.741, 1.77084e-17
0.742, 9.19815e-18
0.743, 1.39889e-17
0.744, 1.25624e-17
0.745, 7.58326e-18
0.746, 1.77268e-17
0.747, 1.16648e-17
0.748, 1.0932e-17
0.749, 9.06144e-18
0.75, 7.63494e-18
0.751, 1.42021e-17
0.752, 1.34692e-17
0.753, 1.20645e-17
0.754, 1.59671e-17
0.755, 9.23334e-18
0.756, 8.50046e-18
0.757, 1.55117e-17
0.758, 1.30024e-17
0.759, 4.93635e-18
0.76, 1.46121e-17
0.761, 1.14093e-17
0.762, 8.65061e-18
0.763, 1.12427e-17
0.764, 1.20583e-17
0.765, 1.17695e-17
0.766, 1.43399e-17
0.767, 1.20252e-17
0.768, 9.71057e-18
0.769, 1.11981e-17
0.77, 1.49062e-17
0.771, 1.21475e-17
0.772, 1.49673e-17
0.773, 1.29021e-17
0.774, 1.50284e-17
0.775, 1.42955e-17
0.776, 1.00099e-17
0.777, 9.47163e-18
0.778, 1.29301e-17
0.779, 1.328e-17
0.78, 1.47676e-17
0.781, 1.20306e-17
0.782, 1.41787e-17
0.783, 1.09759e-17
0.784, 8.66127e-18
0.785, 1.65607e-17
0.786, 1.20475e-17
0.787, 1.75318e-17
0.788, 8.11174e-18
0.789, 1.58165e-17
0.79, 1.44119e-17
0.791, 1.03209e-17
0.792, 8.47207e-18
0.793, 1.52887e-17
0.794, 6.75676e-18
0.795, 9.77121e-18
0.796, 1.36738e-17
0.797, 1.02764e-17
0.798, 1.17639e-17
0.799, 1.56902e-17
0.8, 1.15992e-17
0.801, 9.28451e-18
0.802, 1.27649e-17
0.803, 1.44471e-17
0.804, 1.16883e-17
0.805, 1.11717e-17
0.806, 1.28539e-17
0.807, 8.76284e-18
0.808, 1.62398e-17
0.809, 8.59614e-18
0.81, 1.42751e-17
0.811, 1.24263e-17
0.812, 1.12493e-17
0.813, 1.18486e-17
0.814, 1.39749e-17
0.815, 1.07721e-17
0.816, 1.24542e-17
0.817, 1.30536e-17
0.818, 1.03166e-17
0.819, 1.64396e-17
0.82, 1.19264e-17
0.821, 1.3858e-17
0.822, 7.10248e-18
0.823, 1.25868e-17
0.824, 9.84982e-18
0.825, 9.31153e-18
0.826, 9.23903e-18
0.827, 1.11706e-17
0.828, 1.50733e-17
