sim_time, unit_box_Custom?world_angular_acceleration/y
0.837, 12.8336
0.838, 1.86616
0.839, -12.8598
0.84, -1.84013
0.841, 12.8334
0.842, 1.86644
0.843, -12.86
0.844, -1.83989
0.845, 12.8331
0.846, 1.86673
0.847, -12.8603
0.848, -1.83965
0.849, 12.8328
0.85, 1.86702
0.851, -12.8605
0.852, -1.8394
0.853, 12.8324
0.854, 1.86732
0.855, -12.8608
0.856, -1.83915
0.857, 12.8321
0.858, 1.86763
0.859, -12.861
0.86, -1.83889
0.861, 12.8318
0.862, 1.86794
0.863, -12.8663
0.864, -1.82849
0.865, 12.8336
0.866, 1.86851
0.867, -12.8788
0.868, -1.82005
0.869, 12.8238
0.87, 1.87653
0.871, -12.8851
0.872, -1.8146
0.873, 12.8253
0.874, 1.86883
0.875, -12.89
0.876, -1.81249
0.877, 12.8374
0.878, 1.86112
0.879, -12.8806
0.88, -1.81982
0.881, 12.8433
0.882, 1.85611
0.883, -12.8773
0.884, -1.82275
0.885, 12.845
0.886, 1.85455
0.887, -12.8765
0.888, -1.82345
0.889, 12.8453
0.89, 1.85431
0.891, -12.8765
0.892, -1.82342
0.893, 12.8451
0.894, 1.85447
0.895, -12.8768
0.896, -1.82317
0.897, 12.8448
0.898, 1.85474
0.899, -12.8771
0.9, -1.82286
0.901, 12.8445
0.902, 1.85504
0.903, -12.8774
0.904, -1.82253
0.905, 12.8442
0.906, 1.85536
0.907, -12.8778
0.908, -1.82218
0.909, 12.8438
0.91, 1.85568
0.911, -12.8781
0.912, -1.82183
0.913, 12.8435
0.914, 1.85601
0.915, -12.8785
0.916, -1.82147
0.917, 12.8431
0.918, 1.85635
0.919, -12.8788
0.92, -1.82111
0.921, 12.8427
0.922, 1.8567
0.923, -12.8792
0.924, -1.82073
0.925, 12.8423
0.926, 1.85705
0.927, -12.8796
0.928, -1.82034
0.929, 12.8419
0.93, 1.85742
0.931, -12.88
0.932, -1.81995
0.933, 12.8415
0.934, 1.85779
0.935, -12.8803
0.936, -1.81955
0.937, 12.8411
0.938, 1.85817
0.939, -12.8808
0.94, -1.81913
0.941, 12.8406
0.942, 1.85855
0.943, -12.8812
0.944, -1.81871
0.945, 12.8402
0.946, 1.85895
0.947, -12.8816
0.948, -1.81827
0.949, 12.8397
0.95, 1.85935
0.951, -12.882
0.952, -1.81783
0.953, 12.8392
0.954, 1.85976
0.955, -12.8824
0.956, -1.81737
0.957, 12.8387
0.958, 1.86019
0.959, -12.8829
0.96, -1.8169
0.961, 12.8382
0.962, 1.86062
0.963, -12.8833
0.964, -1.81642
0.965, 12.8377
0.966, 1.86106
0.967, -12.8838
