sim_time, unit_box_Custom?world_linear_velocity/x
1.026, -6.04425e-18
1.027, -5.04205e-18
1.028, -4.03985e-18
1.029, -5.87982e-18
1.03, -6.3875e-18
1.031, -4.40829e-18
1.032, -7.13643e-18
1.033, -4.80196e-18
1.034, -4.33267e-18
1.035, -7.41608e-18
1.036, -5.08159e-18
1.037, -4.25702e-18
1.038, -6.62989e-18
1.039, -2.87434e-18
1.04, -3.91494e-18
1.041, -5.75489e-18
1.042, -5.72969e-18
1.043, -5.3492e-18
1.044, -5.23518e-18
1.045, -4.85469e-18
1.046, -4.29658e-18
1.047, -6.13653e-18
1.048, -5.04549e-18
1.049, -4.22092e-18
1.05, -5.08388e-18
1.051, -4.34812e-18
1.052, -6.63216e-18
1.053, -4.3865e-18
1.054, -5.60475e-18
1.055, -4.42491e-18
1.056, -5.46549e-18
1.057, -4.19683e-18
1.058, -6.03679e-18
1.059, -6.72211e-18
1.06, -3.23301e-18
1.061, -7.02696e-18
1.062, -5.04775e-18
1.063, -5.73308e-18
1.064, -6.41841e-18
1.065, -4.79447e-18
1.066, -6.54562e-18
1.067, -5.54341e-18
