sim_time, unit_box_Custom?world_pose/orientation/pitch
0.799, 1.03973e-18
0.8, 1.03987e-18
0.801, 1.03953e-18
0.802, 1.03694e-18
0.803, 1.03812e-18
0.804, 1.03935e-18
0.805, 1.03761e-18
0.806, 1.03753e-18
0.807, 1.03927e-18
0.808, 1.0359e-18
0.809, 1.0397e-18
0.81, 1.03892e-18
0.811, 1.04033e-18
0.812, 1.03913e-18
0.813, 1.04046e-18
0.814, 1.03829e-18
0.815, 1.03972e-18
0.816, 1.03978e-18
0.817, 1.03847e-18
0.818, 1.03508e-18
0.819, 1.03991e-18
0.82, 1.03875e-18
0.821, 1.03978e-18
0.822, 1.03908e-18
0.823, 1.03665e-18
0.824, 1.03676e-18
0.825, 1.03727e-18
0.826, 1.03837e-18
0.827, 1.03881e-18
0.828, 1.03788e-18
0.829, 1.0386e-18
0.83, 1.03723e-18
0.831, 1.03716e-18
0.832, 1.0375e-18
0.833, 1.03753e-18
0.834, 1.03814e-18
0.835, 1.03987e-18
0.836, 1.03952e-18
0.837, 1.03567e-18
0.838, 1.03844e-18
0.839, 1.03557e-18
0.84, 1.04093e-18
0.841, 1.0371e-18
0.842, 1.04043e-18
0.843, 1.03865e-18
0.844, 1.03817e-18
0.845, 1.03899e-18
0.846, 1.04021e-18
0.847, 1.03934e-18
0.848, 1.03995e-18
0.849, 1.03706e-18
0.85, 1.0383e-18
0.851, 1.04031e-18
0.852, 1.03792e-18
0.853, 1.04091e-18
0.854, 1.04076e-18
0.855, 1.03799e-18
0.856, 1.03829e-18
0.857, 1.03989e-18
0.858, 1.03816e-18
0.859, 1.03684e-18
0.86, 1.04125e-18
0.861, 1.0395e-18
0.862, 1.03797e-18
0.863, 1.03809e-18
0.864, 1.04022e-18
0.865, 1.03654e-18
0.866, 1.03716e-18
0.867, 1.035e-18
0.868, 1.03875e-18
0.869, 1.0406e-18
0.87, 1.03468e-18
0.871, 1.0368e-18
0.872, 1.0388e-18
0.873, 1.04014e-18
0.874, 1.04028e-18
0.875, 1.04207e-18
0.876, 1.03983e-18
0.877, 1.03888e-18
0.878, 1.03941e-18
0.879, 1.03803e-18
0.88, 1.03688e-18
0.881, 1.03702e-18
0.882, 1.03881e-18
0.883, 1.04047e-18
0.884, 1.03935e-18
0.885, 1.03916e-18
0.886, 1.0392e-18
0.887, 1.03893e-18
0.888, 1.03694e-18
0.889, 1.03677e-18
0.89, 1.0379e-18
0.891, 1.03997e-18
0.892, 1.03836e-18
0.893, 1.03502e-18
0.894, 1.03706e-18
0.895, 1.03826e-18
0.896, 1.04023e-18
0.897, 1.03904e-18
0.898, 1.03614e-18
0.899, 1.03683e-18
0.9, 1.03793e-18
0.901, 1.03553e-18
0.902, 1.03993e-18
0.903, 1.03922e-18
0.904, 1.03857e-18
0.905, 1.03726e-18
0.906, 1.03653e-18
0.907, 1.03745e-18
0.908, 1.0386e-18
0.909, 1.03696e-18
0.91, 1.03679e-18
0.911, 1.03951e-18
0.912, 1.03677e-18
0.913, 1.04137e-18
0.914, 1.0398e-18
0.915, 1.03615e-18
0.916, 1.03699e-18
0.917, 1.03913e-18
0.918, 1.03936e-18
0.919, 1.03893e-18
0.92, 1.03855e-18
0.921, 1.03893e-18
0.922, 1.03937e-18
0.923, 1.03914e-18
0.924, 1.03967e-18
0.925, 1.03706e-18
0.926, 1.03876e-18
0.927, 1.03838e-18
0.928, 1.03539e-18
0.929, 1.03724e-18
0.93, 1.03683e-18
0.931, 1.03754e-18
0.932, 1.03848e-18
0.933, 1.03663e-18
0.934, 1.03624e-18
0.935, 1.03875e-18
0.936, 1.0367e-18
0.937, 1.03895e-18
0.938, 1.03753e-18
0.939, 1.0374e-18
0.94, 1.03803e-18
0.941, 1.04084e-18
0.942, 1.03855e-18
0.943, 1.03898e-18
0.944, 1.03732e-18
0.945, 1.03696e-18
0.946, 1.03683e-18
0.947, 1.03852e-18
0.948, 1.03956e-18
0.949, 1.03549e-18
0.95, 1.03964e-18
0.951, 1.03905e-18
0.952, 1.03762e-18
0.953, 1.0366e-18
0.954, 1.03634e-18
0.955, 1.03773e-18
0.956, 1.03845e-18
0.957, 1.04118e-18
0.958, 1.03881e-18
0.959, 1.03898e-18
0.96, 1.03902e-18
0.961, 1.03947e-18
0.962, 1.03908e-18
0.963, 1.03802e-18
0.964, 1.04004e-18
0.965, 1.03447e-18
0.966, 1.03659e-18
0.967, 1.03947e-18
0.968, 1.03636e-18
0.969, 1.03846e-18
0.97, 1.03705e-18
0.971, 1.03782e-18
0.972, 1.04006e-18
0.973, 1.0404e-18
0.974, 1.03831e-18
0.975, 1.03804e-18
0.976, 1.03782e-18
0.977, 1.03854e-18
0.978, 1.03718e-18
0.979, 1.03764e-18
0.98, 1.03869e-18
0.981, 1.03571e-18
0.982, 1.04023e-18
0.983, 1.03681e-18
0.984, 1.03966e-18
0.985, 1.03421e-18
0.986, 1.03752e-18
0.987, 1.03981e-18
0.988, 1.03717e-18
0.989, 1.03797e-18
0.99, 1.03614e-18
0.991, 1.03739e-18
0.992, 1.03851e-18
0.993, 1.03791e-18
0.994, 1.03576e-18
0.995, 1.03614e-18
0.996, 1.03764e-18
0.997, 1.04026e-18
0.998, 1.0376e-18
0.999, 1.03783e-18
1, 1.03988e-18
1.001, 1.04057e-18
1.002, 1.03847e-18
1.003, 1.0389e-18
1.004, 1.03725e-18
1.005, 1.03654e-18
