sim_time, unit_box_Custom?world_pose/orientation/roll
0.685, 7.43969e-19
0.686, 7.45025e-19
0.687, 7.50565e-19
0.688, 7.46379e-19
0.689, 7.45346e-19
0.69, 7.45689e-19
0.691, 7.48297e-19
0.692, 7.47396e-19
0.693, 7.43874e-19
0.694, 7.41285e-19
0.695, 7.44068e-19
0.696, 7.46452e-19
0.697, 7.4888e-19
0.698, 7.41582e-19
0.699, 7.44542e-19
0.7, 7.47102e-19
0.701, 7.45709e-19
0.702, 7.4658e-19
0.703, 7.46164e-19
0.704, 7.44903e-19
0.705, 7.47683e-19
0.706, 7.46954e-19
0.707, 7.48934e-19
0.708, 7.44741e-19
0.709, 7.43701e-19
0.71, 7.43592e-19
0.711, 7.45749e-19
0.712, 7.46616e-19
0.713, 7.43088e-19
0.714, 7.44043e-19
0.715, 7.45043e-19
0.716, 7.48308e-19
0.717, 7.50284e-19
0.718, 7.48752e-19
0.719, 7.48596e-19
0.72, 7.48483e-19
0.721, 7.41754e-19
0.722, 7.43062e-19
0.723, 7.47079e-19
0.724, 7.48475e-19
0.725, 7.46807e-19
0.726, 7.42074e-19
0.727, 7.41826e-19
0.728, 7.43843e-19
0.729, 7.4546e-19
0.73, 7.43567e-19
0.731, 7.45716e-19
0.732, 7.47465e-19
0.733, 7.49258e-19
0.734, 7.48874e-19
0.735, 7.48534e-19
0.736, 7.45574e-19
0.737, 7.47099e-19
0.738, 7.45115e-19
0.739, 7.47172e-19
0.74, 7.47497e-19
0.741, 7.43869e-19
0.742, 7.43393e-19
0.743, 7.47847e-19
0.744, 7.42574e-19
0.745, 7.43119e-19
0.746, 7.44596e-19
0.747, 7.46117e-19
0.748, 7.45018e-19
0.749, 7.50624e-19
0.75, 7.46504e-19
0.751, 7.47313e-19
0.752, 7.42019e-19
0.753, 7.44838e-19
0.754, 7.4609e-19
0.755, 7.48496e-19
0.756, 7.44892e-19
0.757, 7.45994e-19
0.758, 7.48917e-19
0.759, 7.46111e-19
0.76, 7.44237e-19
0.761, 7.4603e-19
0.762, 7.47871e-19
0.763, 7.44054e-19
0.764, 7.45331e-19
0.765, 7.44817e-19
0.766, 7.46859e-19
0.767, 7.44953e-19
0.768, 7.44938e-19
0.769, 7.46302e-19
0.77, 7.47711e-19
0.771, 7.43391e-19
0.772, 7.46664e-19
0.773, 7.4659e-19
0.774, 7.45895e-19
0.775, 7.41409e-19
0.776, 7.45254e-19
0.777, 7.50105e-19
0.778, 7.45396e-19
0.779, 7.48503e-19
0.78, 7.47819e-19
0.781, 7.41629e-19
0.782, 7.48805e-19
0.783, 7.4137e-19
0.784, 7.43749e-19
0.785, 7.46243e-19
0.786, 7.49229e-19
0.787, 7.4478e-19
0.788, 7.43649e-19
0.789, 7.42503e-19
0.79, 7.48799e-19
0.791, 7.45817e-19
0.792, 7.46503e-19
0.793, 7.45903e-19
0.794, 7.4446e-19
