sim_time, unit_box_Custom?world_pose/orientation/roll
0.932, 9.78113e-06
0.933, 1.10387e-08
0.934, -9.78113e-06
0.935, -1.10388e-08
0.936, 9.78113e-06
0.937, 1.10387e-08
0.938, -9.78113e-06
0.939, -1.10388e-08
0.94, 9.78113e-06
0.941, 1.10387e-08
0.942, -9.78113e-06
0.943, -1.10388e-08
0.944, 9.78113e-06
0.945, 1.10387e-08
0.946, -9.78113e-06
0.947, -1.10388e-08
0.948, 9.78113e-06
0.949, 1.10387e-08
0.95, -9.78113e-06
0.951, -1.10388e-08
0.952, 9.78113e-06
0.953, 1.10387e-08
0.954, -9.78113e-06
0.955, -1.10388e-08
0.956, 9.78113e-06
0.957, 1.10387e-08
0.958, -9.78113e-06
0.959, -1.10388e-08
0.96, 9.78113e-06
0.961, 1.10387e-08
0.962, -9.78113e-06
0.963, -1.10388e-08
0.964, 9.78113e-06
0.965, 1.10387e-08
0.966, -9.78113e-06
0.967, -1.10388e-08
0.968, 9.78113e-06
0.969, 1.10387e-08
0.97, -9.78113e-06
0.971, -1.10388e-08
0.972, 9.78113e-06
0.973, 1.10387e-08
0.974, -9.78113e-06
0.975, -1.10388e-08
0.976, 9.78113e-06
0.977, 1.10387e-08
0.978, -9.78113e-06
0.979, -1.10388e-08
0.98, 9.78113e-06
0.981, 1.10387e-08
0.982, -9.78113e-06
0.983, -1.10388e-08
0.984, 9.78113e-06
0.985, 1.10387e-08
0.986, -9.78113e-06
0.987, -1.10388e-08
0.988, 9.78113e-06
0.989, 1.10387e-08
0.99, -9.78113e-06
0.991, -1.10388e-08
0.992, 9.78113e-06
0.993, 1.10387e-08
0.994, -9.78113e-06
0.995, -1.10388e-08
0.996, 9.78113e-06
0.997, 1.10387e-08
0.998, -9.78113e-06
0.999, -1.10388e-08
1, 9.78113e-06
1.001, 1.10387e-08
1.002, -9.78113e-06
1.003, -1.10388e-08
1.004, 9.78113e-06
1.005, 1.10387e-08
1.006, -9.78113e-06
1.007, -1.10388e-08
1.008, 9.78113e-06
1.009, 1.10387e-08
1.01, -9.78113e-06
1.011, -1.10388e-08
1.012, 9.78113e-06
1.013, 1.10387e-08
1.014, -9.78113e-06
1.015, -1.10388e-08
1.016, 9.78113e-06
1.017, 1.10387e-08
1.018, -9.78113e-06
1.019, -1.10388e-08
1.02, 9.78113e-06
1.021, 1.10387e-08
1.022, -9.78113e-06
1.023, -1.10388e-08
1.024, 9.78113e-06
1.025, 1.10387e-08
1.026, -9.78113e-06
1.027, -1.10388e-08
1.028, 9.78113e-06
1.029, 1.10387e-08
1.03, -9.78113e-06
1.031, -1.10388e-08
1.032, 9.78113e-06
1.033, 1.10387e-08
1.034, -9.78113e-06
1.035, -1.10388e-08
1.036, 9.78113e-06
1.037, 1.10387e-08
1.038, -9.78113e-06
1.039, -1.10388e-08
1.04, 9.78113e-06
1.041, 1.10387e-08
1.042, -9.78113e-06
1.043, -1.10388e-08
1.044, 9.78113e-06
1.045, 1.10387e-08
1.046, -9.78113e-06
1.047, -1.10388e-08
1.048, 9.78113e-06
1.049, 1.10387e-08
1.05, -9.78113e-06
1.051, -1.10388e-08
1.052, 9.78113e-06
1.053, 1.10387e-08
1.054, -9.78113e-06
1.055, -1.10388e-08
1.056, 9.78113e-06
1.057, 1.10387e-08
1.058, -9.78113e-06
1.059, -1.10388e-08
1.06, 9.78113e-06
1.061, 1.10387e-08
1.062, -9.78113e-06
1.063, -1.10388e-08
1.064, 9.78113e-06
1.065, 1.10387e-08
1.066, -9.78113e-06
1.067, -1.10388e-08
