sim_time, unit_box_Custom?world_linear_acceleration/y
1.177, -9.78112
1.178, -9.78112
1.179, -9.78112
1.18, -9.78112
1.181, -9.78112
1.182, -9.78112
1.183, -9.78112
1.184, -9.78112
1.185, -9.78112
1.186, -9.78112
1.187, -9.78112
1.188, -9.78112
1.189, -9.78112
1.19, -9.78112
1.191, -9.78112
1.192, -9.78112
1.193, -9.78112
1.194, -9.78112
1.195, -9.78112
1.196, -9.78112
1.197, -9.78112
1.198, -9.78112
1.199, -9.78112
1.2, -9.78112
1.201, -9.78112
1.202, -9.78112
1.203, -9.78112
1.204, -9.78112
1.205, -9.78112
1.206, -9.78112
1.207, -9.78112
1.208, -9.78112
1.209, -9.78112
1.21, -9.78112
1.211, -9.78112
1.212, -9.78112
1.213, -9.78112
1.214, -9.78112
1.215, -9.78112
1.216, -9.78112
1.217, -9.78112
1.218, -9.78112
1.219, -9.78112
1.22, -9.78112
1.221, -9.78112
1.222, -9.78112
1.223, -9.78112
1.224, -9.78112
1.225, -9.78112
1.226, -9.78112
1.227, -9.78112
1.228, -9.78112
1.229, -9.78112
1.23, -9.78112
1.231, -9.78112
1.232, -9.78112
1.233, -9.78112
1.234, -9.78112
1.235, -9.78112
1.236, -9.78112
1.237, -9.78112
1.238, -9.78112
1.239, -9.78112
1.24, -9.78112
1.241, -9.78112
1.242, -9.78112
1.243, -9.78112
1.244, -9.78112
1.245, -9.78112
1.246, -9.78112
1.247, -9.78112
1.248, -9.78112
1.249, -9.78112
1.25, -9.78112
1.251, -9.78112
1.252, -9.78112
1.253, -9.78112
1.254, -9.78112
1.255, -9.78112
1.256, -9.78112
1.257, -9.78112
1.258, -9.78112
1.259, -9.78112
1.26, -9.78112
1.261, -9.78112
1.262, -9.78112
1.263, -9.78112
1.264, -9.78112
1.265, -9.78112
1.266, -9.78112
1.267, -9.78112
1.268, -9.78112
1.269, -9.78112
1.27, -9.78112
1.271, -9.78112
1.272, -9.78112
1.273, -9.78112
1.274, -9.78112
1.275, -9.78112
1.276, -9.78112
1.277, -9.78112
1.278, -9.78112
1.279, -9.78112
1.28, -9.78112
1.281, -9.78112
1.282, -9.78112
1.283, -9.78112
1.284, -9.78112
1.285, -9.78112
1.286, -9.78112
1.287, -9.78112
1.288, -9.78112
1.289, -9.78112
1.29, -9.78112
1.291, -9.78112
1.292, -9.78112
1.293, -9.78112
1.294, -9.78112
1.295, -9.78112
1.296, -9.78112
1.297, -9.78112
1.298, -9.78112
1.299, -9.78112
1.3, -9.78112
1.301, -9.78112
1.302, -9.78112
1.303, -9.78112
1.304, -9.78112
1.305, -9.78112
1.306, -9.78112
1.307, -9.78112
1.308, -9.78112
1.309, -9.78112
1.31, -9.78112
1.311, -9.78112
1.312, -9.78112
1.313, -9.78112
1.314, -9.78112
1.315, -9.78112
1.316, -9.78112
1.317, -9.78112
1.318, -9.78112
1.319, -9.78112
